Time, Leisure, Van
02-09 06:01,13.3,13.3
02-09 06:11,13.4,13.3
02-09 06:21,13.3,13.3
02-09 06:31,13.3,13.3
02-09 06:41,13.3,13.3
02-09 06:51,13.4,13.3
02-09 07:01,13.3,13.3
02-09 07:11,13.4,13.3
02-09 07:21,13.3,13.3
02-09 07:31,13.3,13.3
02-09 07:41,13.4,13.3
02-09 07:51,13.4,13.3
02-09 08:01,13.3,13.3
02-09 08:11,13.3,13.3
02-09 08:21,13.4,13.3
02-09 08:31,13.4,13.4
02-09 08:41,13.4,13.4
02-09 08:51,13.4,13.3
02-09 09:01,13.4,13.4
02-09 09:11,13.4,13.4
02-09 09:21,13.4,13.4
02-09 09:31,13.5,13.4
02-09 09:41,13.4,13.3
02-09 09:51,13.5,13.5
02-09 10:01,13.4,13.4
02-09 10:11,13.8,13.8
02-09 10:21,14.7,14.7
02-09 10:31,14.7,14.7
02-09 10:41,14.7,14.6
02-09 10:51,14.6,14.5
02-09 11:01,14.5,14.4
02-09 11:11,14.6,14.5
02-09 11:21,14.5,14.5
02-09 11:31,14.5,14.4
02-09 11:41,13.8,13.7
02-09 11:51,14.4,14.4
02-09 12:00,14.4,14.4
02-09 12:10,14.4,14.4
02-09 12:20,14.4,14.4
02-09 12:30,14.4,14.4
02-09 12:40,14.4,14.4
02-09 12:50,14.3,14.3
02-09 13:00,14.4,14.4
02-09 13:10,14.3,14.3
02-09 13:20,13.8,13.7
02-09 13:30,13.8,13.7
02-09 13:40,13.8,13.7
02-09 13:50,13.8,13.8
02-09 14:00,13.8,13.8
02-09 14:10,13.7,13.7
02-09 14:20,13.8,13.8
02-09 14:30,13.8,13.8
02-09 14:40,13.8,13.8
02-09 14:50,13.8,13.8
02-09 15:00,13.7,13.7
02-09 15:10,13.4,13.4
02-09 15:20,13.2,13.2
02-09 15:30,13.3,13.3
02-09 15:40,13.3,13.3
02-09 15:50,13.3,13.2
02-09 16:00,13.3,13.3
02-09 16:10,13.3,13.3
02-09 16:20,13.3,13.3
02-09 16:30,13.3,13.3
02-09 16:40,13.3,13.3
02-09 16:50,13.3,13.3
02-09 17:00,13.3,13.3
02-09 17:10,13.3,13.3
02-09 17:20,13.3,13.3
02-09 17:30,13.3,13.3
02-09 17:40,13.2,13.2
02-09 17:50,13.3,13.3
02-09 18:00,13.3,13.3
