Time, Temp C, Humidity %
02-12 01:20,6,27
02-12 01:30,9,26
02-12 01:40,9,23
02-12 01:50,8,26
02-12 02:00,9,26
02-12 02:10,10,26
02-12 02:20,8,26
02-12 02:30,9,27
02-12 02:40,8,26
02-12 02:50,8,26
02-12 03:00,10,26
02-12 03:10,8,26
02-12 03:21,10,26
02-12 03:31,10,26
02-12 03:41,8,26
02-12 03:51,10,27
02-12 04:01,7,26
02-12 04:11,9,26
02-12 04:21,9,26
02-12 04:31,10,26
02-12 04:41,7,26
02-12 04:51,9,26
02-12 05:01,7,27
02-12 05:11,9,26
02-12 05:21,9,26
02-12 05:31,7,26
02-12 05:41,9,26
02-12 05:51,8,23
02-12 06:01,9,26
02-12 06:11,8,26
02-12 06:21,8,26
02-12 06:31,8,26
02-12 06:41,8,23
02-12 06:51,8,26
02-12 07:01,8,26
02-12 07:11,8,28
02-12 07:21,8,25
02-12 07:31,8,26
02-12 07:41,10,26
02-12 07:51,8,26
02-12 08:01,7,26
02-12 08:11,8,25
02-12 08:21,7,25
02-12 08:31,7,26
02-12 08:41,8,26
02-12 08:51,8,27
02-12 09:01,8,25
02-12 09:11,8,26
02-12 09:21,8,26
02-12 09:31,9,25
02-12 09:41,9,26
02-12 09:51,7,26
02-12 10:01,8,26
02-12 10:11,8,27
02-12 10:21,9,27
02-12 10:31,9,27
02-12 10:41,10,27
02-12 10:51,10,27
02-12 11:01,11,26
02-12 11:11,11,28
02-12 11:21,10,27
02-12 11:31,10,29
02-12 11:41,11,27
02-12 11:51,11,27
02-12 12:00,9,27
02-12 12:10,10,26
02-12 12:20,10,27
02-12 12:30,10,27
02-12 12:40,11,27
02-12 12:50,12,27
02-12 13:00,12,28
02-12 13:10,13,27
02-12 13:20,13,27
02-12 13:30,12,27
02-12 13:40,12,26
02-12 13:50,13,28
02-12 14:00,14,27
02-12 14:10,14,27
02-12 14:20,14,27
02-12 14:30,15,27
02-12 14:40,14,27
02-12 14:50,15,27
02-12 15:00,15,27
02-12 15:10,12,27
02-12 15:20,12,25
02-12 15:30,14,23
02-12 15:40,14,26
