Time,Air Quality
02-08 19:30,-46.0
02-08 19:40,-44.0
02-08 19:50,-42.0
02-08 20:00,-47.0
02-08 20:10,-45.0
02-08 20:20,-47.0
02-08 20:30,-40.0
02-08 20:40,-35.0
02-08 20:50,-31.0
02-08 21:00,-27.0
02-08 21:10,-28.0
02-08 21:20,-22.0
02-08 21:30,-25.0
02-08 21:40,-18.0
02-08 21:50,-18.0
02-08 22:00,-16.0
02-08 22:10,-19.0
02-08 22:20,-16.0
02-08 22:30,-14.0
02-08 22:40,-11.0
02-08 22:50,-10.0
02-08 23:00,-13.0
02-08 23:10,-13.0
02-08 23:20,-21.0
02-08 23:30,-23.0
02-08 23:40,-29.0
02-08 23:50,-26.0
02-09 00:00,-23.0
02-09 00:10,-20.0
02-09 00:20,-22.0
02-09 00:30,-24.0
02-09 00:40,-22.0
02-09 00:50,-25.0
02-09 01:00,-25.0
02-09 01:10,-27.0
02-09 01:20,-28.0
02-09 01:30,-28.0
02-09 01:40,-29.0
02-09 01:50,-30.0
02-09 02:00,-39.0
02-09 02:10,-39.0
02-09 02:21,-41.0
02-09 02:31,-42.0
02-09 02:41,-40.0
02-09 02:51,-37.0
02-09 03:01,-29.0
02-09 03:11,-27.0
02-09 03:21,-23.0
02-09 03:31,-27.0
02-09 03:41,-25.0
02-09 03:51,-25.0
02-09 04:01,-23.0
02-09 04:11,-23.0
02-09 04:21,-19.0
02-09 04:31,-14.0
02-09 04:41,-14.0
02-09 04:51,-13.0
02-09 05:01,-12.0
02-09 05:11,-10.0
02-09 05:21,-14.0
02-09 05:31,-14.0
02-09 05:41,-13.0
02-09 05:51,-10.0
02-09 06:01,-13.0
02-09 06:11,-17.0
02-09 06:21,-22.0
02-09 06:31,-24.0
02-09 06:41,-29.0
02-09 06:51,-24.0
02-09 07:01,-22.0
02-09 07:11,-17.0
02-09 07:21,-16.0
02-09 07:31,-21.0
02-09 07:41,-19.0
02-09 07:51,-21.0
02-09 08:01,-20.0
02-09 08:11,-27.0
02-09 08:21,-30.0
02-09 08:31,-23.0
02-09 08:41,-23.0
02-09 08:51,-26.0
02-09 09:01,-25.0
02-09 09:11,-17.0
02-09 09:21,-12.0
02-09 09:31,-7.0
02-09 09:41,-7.0
02-09 09:51,-2.0
02-09 10:01,-5.0
02-09 10:11,-7.0
02-09 10:21,-14.0
02-09 10:31,-10.0
02-09 10:41,-8.0
02-09 10:51,-10.0
02-09 11:01,-15.0
02-09 11:11,-8.0
02-09 11:21,0.0
02-09 11:31,12.0
02-09 11:41,14.0
02-09 11:51,24.0
02-09 12:00,35.0
02-09 12:10,32.0
02-09 12:20,38.0
02-09 12:30,50.0
02-09 12:40,64.0
02-09 12:50,68.0
02-09 13:00,82.0
02-09 13:10,95.0
02-09 13:20,107.0
02-09 13:30,107.0
02-09 13:40,112.0
02-09 13:50,132.0
02-09 14:00,145.0
02-09 14:10,152.0
02-09 14:20,153.0
02-09 14:30,157.0
02-09 14:40,163.0
02-09 14:50,163.0
02-09 15:00,156.0
02-09 15:10,153.0
02-09 15:20,146.0
02-09 15:30,145.0
02-09 15:40,142.0
02-09 15:50,37.0
02-09 16:00,-47.0
02-09 16:10,-116.0
02-09 16:20,-75.0
02-09 16:30,-51.0
02-09 16:40,-34.0
02-09 16:50,-22.0
02-09 17:00,-7.0
02-09 17:10,4.0
02-09 17:20,13.0
02-09 17:30,19.0
02-09 17:40,22.0
02-09 17:50,24.0
02-09 18:00,27.0
02-09 18:10,31.0
02-09 18:20,30.0
02-09 18:30,33.0
02-09 18:40,35.0
02-09 18:50,41.0
02-09 19:00,42.0
02-09 19:10,43.0
02-09 19:20,42.0
02-09 19:30,42.0
02-09 19:40,43.0
02-09 19:50,42.0
02-09 20:00,45.0
02-09 20:10,48.0
02-09 20:20,53.0
02-09 20:30,56.0
02-09 20:40,56.0
02-09 20:50,54.0
02-09 21:00,47.0
02-09 21:10,47.0
02-09 21:20,49.0
02-09 21:30,50.0
02-09 21:40,46.0
02-09 21:50,45.0
02-09 22:00,44.0
02-09 22:10,46.0
02-09 22:20,44.0
02-09 22:30,43.0
02-09 22:40,41.0
02-09 22:50,34.0
02-09 23:00,32.0
02-09 23:10,27.0
02-09 23:20,25.0
02-09 23:30,20.0
02-09 23:40,17.0
02-09 23:50,16.0
02-10 00:00,18.0
02-10 00:10,16.0
02-10 00:20,13.0
02-10 00:30,9.0
02-10 00:40,8.0
02-10 00:50,6.0
02-10 01:00,4.0
02-10 01:10,4.0
02-10 01:20,0.0
02-10 01:30,-1.0
02-10 01:40,-4.0
02-10 01:50,-9.0
02-10 02:00,-13.0
02-10 02:10,-15.0
02-10 02:20,-13.0
02-10 02:31,-16.0
02-10 02:41,-15.0
02-10 02:51,-16.0
02-10 03:01,-15.0
02-10 03:11,-17.0
02-10 03:21,-20.0
02-10 03:31,-25.0
02-10 03:41,-29.0
02-10 03:51,-33.0
02-10 04:01,-36.0
02-10 04:11,-36.0
02-10 04:21,-40.0
02-10 04:31,-38.0
02-10 04:41,-37.0
02-10 04:51,-35.0
02-10 05:01,-38.0
02-10 05:11,-38.0
02-10 05:21,-44.0
02-10 05:31,-46.0
02-10 05:41,-51.0
02-10 05:51,-53.0
02-10 06:01,-50.0
02-10 06:11,-51.0
02-10 06:21,-50.0
02-10 06:31,-50.0
02-10 06:41,-51.0
02-10 06:51,-53.0
02-10 07:01,-57.0
02-10 07:11,-60.0
02-10 07:21,-64.0
02-10 07:31,-62.0
02-10 07:41,-62.0
02-10 07:51,-60.0
02-10 08:01,-63.0
02-10 08:11,-61.0
02-10 08:21,-62.0
02-10 08:31,-57.0
02-10 08:41,-55.0
02-10 08:51,-53.0
02-10 09:01,-55.0
02-10 09:11,-54.0
02-10 09:21,-52.0
02-10 09:31,-54.0
02-10 09:41,-59.0
02-10 09:51,-57.0
02-10 10:01,-56.0
02-10 10:11,-54.0
02-10 10:21,-55.0
02-10 10:31,-51.0
02-10 10:41,-49.0
02-10 10:51,-42.0
02-10 11:01,-35.0
02-10 11:11,-31.0
02-10 11:21,-22.0
02-10 11:31,-19.0
