Time, Pressure MBar
02-12 02:30,1033
02-12 02:40,1033
02-12 02:50,1033
02-12 03:00,1033
02-12 03:10,1033
02-12 03:21,1033
02-12 03:31,1033
02-12 03:41,1033
02-12 03:51,1033
02-12 04:01,1033
02-12 04:11,1033
02-12 04:21,1033
02-12 04:31,1033
02-12 04:41,1033
02-12 04:51,1033
02-12 05:01,1033
02-12 05:11,1033
02-12 05:21,1033
02-12 05:31,1033
02-12 05:41,1033
02-12 05:51,1033
02-12 06:01,1033
02-12 06:11,1033
02-12 06:21,1033
02-12 06:31,1033
02-12 06:41,1033
02-12 06:51,1033
02-12 07:01,1033
02-12 07:11,1033
02-12 07:21,1033
02-12 07:31,1033
02-12 07:41,1033
02-12 07:51,1033
02-12 08:01,1033
02-12 08:11,1033
02-12 08:21,1033
02-12 08:31,1033
02-12 08:41,1033
02-12 08:51,1033
02-12 09:01,1033
02-12 09:11,1034
02-12 09:21,1034
02-12 09:31,1034
02-12 09:41,1033
02-12 09:51,1033
02-12 10:01,1033
02-12 10:11,1033
02-12 10:21,1033
02-12 10:31,1034
02-12 10:41,1034
02-12 10:51,1034
02-12 11:01,1034
02-12 11:11,1033
02-12 11:21,1033
02-12 11:31,1033
02-12 11:41,1033
02-12 11:51,1033
02-12 12:00,1033
02-12 12:10,1033
02-12 12:20,1033
02-12 12:30,1033
02-12 12:40,1033
02-12 12:50,1033
02-12 13:00,1033
02-12 13:10,1033
02-12 13:20,1032
02-12 13:30,1032
02-12 13:40,1032
02-12 13:50,1032
02-12 14:00,1032
02-12 14:10,1032
02-12 14:20,1032
02-12 14:30,1032
02-12 14:40,1032
02-12 14:50,1032
02-12 15:00,1032
02-12 15:10,1032
02-12 15:20,1031
02-12 15:30,1032
02-12 15:40,1031
02-12 15:50,1032
02-12 16:00,1031
02-12 16:10,1031
02-12 16:20,1031
02-12 16:30,1031
02-12 16:40,1031
02-12 16:50,1031
02-12 17:00,1031
02-12 17:10,1031
02-12 17:20,1031
02-12 17:30,1031
02-12 17:40,1032
02-12 17:50,1032
02-12 18:00,1032
02-12 18:10,1032
02-12 18:20,1032
02-12 18:30,1032
02-12 18:40,1032
02-12 18:50,1032
02-12 19:00,1032
02-12 19:10,1032
02-12 19:20,1031
02-12 19:30,1031
02-12 19:40,1031
02-12 19:50,1031
02-12 20:00,1031
02-12 20:10,1031
02-12 20:20,1031
02-12 20:30,1031
02-12 20:40,1031
02-12 20:50,1031
02-12 21:00,1031
02-12 21:10,1031
02-12 21:20,1031
02-12 21:30,1031
02-12 21:40,1031
02-12 21:50,1031
02-12 22:00,1031
02-12 22:10,1031
02-12 22:20,1031
02-12 22:30,1031
02-12 22:40,1031
02-12 22:50,1031
02-12 23:00,1031
02-12 23:10,1031
02-12 23:20,1031
02-12 23:30,1031
02-12 23:40,1031
02-12 23:50,1031
02-13 00:00,1031
02-13 00:10,1031
02-13 00:20,1031
02-13 00:30,1031
02-13 00:40,1031
02-13 00:50,1030
02-13 01:00,1030
02-13 01:10,1030
02-13 01:20,1030
02-13 01:30,1030
02-13 01:40,1030
02-13 01:50,1030
02-13 02:00,1030
02-13 02:10,1030
02-13 02:20,1030
02-13 02:30,1030
02-13 02:40,1030
02-13 02:50,1030
02-13 03:01,1030
02-13 03:11,1030
02-13 03:21,1030
02-13 03:31,1030
02-13 03:41,1030
02-13 03:51,1030
02-13 04:01,1030
02-13 04:11,1030
02-13 04:21,1030
02-13 04:31,1030
02-13 04:41,1030
02-13 04:51,1030
02-13 05:01,1030
02-13 05:11,1030
02-13 05:21,1030
02-13 05:31,1030
02-13 05:41,1030
02-13 05:51,1030
02-13 06:01,1030
02-13 06:11,1030
02-13 06:21,1029
02-13 06:31,1029
02-13 06:41,1029
02-13 06:51,1029
02-13 07:01,1030
02-13 07:11,1030
02-13 07:21,1030
02-13 07:31,1030
02-13 07:41,1029
02-13 07:51,1029
02-13 08:01,1030
02-13 08:11,1030
02-13 08:21,1030
02-13 08:31,1030
02-13 08:41,1030
02-13 08:51,1030
02-13 09:01,1030
02-13 09:11,1030
02-13 09:21,1030
02-13 09:31,1030
02-13 09:41,1030
02-13 09:51,1030
02-13 10:01,1030
02-13 10:11,1030
02-13 10:21,1030
02-13 10:31,1029
02-13 10:41,1029
02-13 10:51,1029
02-13 11:01,1030
02-13 11:11,1030
02-13 11:21,1030
02-13 11:31,1030
02-13 11:41,1029
02-13 11:51,1029
02-13 12:00,1029
02-13 12:10,1029
02-13 12:20,1029
02-13 12:30,1029
02-13 12:40,1029
02-13 12:50,1029
02-13 13:00,1029
02-13 13:10,1029
02-13 13:20,1028
02-13 13:30,1028
02-13 13:40,1028
02-13 13:50,1028
02-13 14:00,1028
02-13 14:10,1028
02-13 14:20,1028
02-13 14:30,1028
02-13 14:40,1028
02-13 14:50,1027
02-13 15:00,1027
02-13 15:10,1027
02-13 15:20,1027
02-13 15:30,1027
02-13 15:40,1027
02-13 15:50,1027
02-13 16:00,1027
02-13 16:10,1027
02-13 16:20,1027
02-13 16:30,1027
02-13 16:40,1027
02-13 16:50,1027
